Comment,Designator,Footprint,LCSC Part #
"47p Unpolarized capacitor, small symbol","C4,C6",C_0402_1005Metric,C1567
"100n Unpolarized capacitor, small symbol","C5,C8",C_0603_1608Metric,C14663
"1u Unpolarized capacitor, small symbol",C9,C_0603_1608Metric,C15849
"4.7u Unpolarized capacitor, small symbol",C10,C_0603_1608Metric,C19666
"D_Small Diode, small symbol",D1,D_SOD-123,C8598
"LED_PWR Light emitting diode, small symbol",D2,LED_0402_1005Metric,C71911
"LED_TX Light emitting diode, small symbol",D3,LED_0402_1005Metric,C74338
"LED_RX Light emitting diode, small symbol",D4,LED_0402_1005Metric,C130721
"500mA Fuse, small symbol",F1,Fuse_0603_1608Metric,C69679
"Ferrite_Bead_Small Ferrite bead, small symbol",FB1,L_0603_1608Metric,C35327
"2.2k Resistor, small symbol","R1,R2,R5",R_0402_1005Metric,C25879
"27 Resistor, small symbol","R3,R4",R_0402_1005Metric,C25100
"4.7k Resistor, small symbol",R6,R_0402_1005Metric,C25900
"AMS1117-5.0 1A Low Dropout regulator, positive, 5.0V fixed output, SOT-223",U1,SOT-223-3_TabPin2,C6187
"CP2104 Single-Chip USB-to-UART Bridge, USB 2.0 Full-Speed, 2Mbps UART, QFN package",U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C47742
